Name,CAS,Product Name,Tel,Email,Website_URL,Source_URL,Stock_Weight,Price,Last_Updated,Verified_On,Remarks
"Henan Fengda Chemical Co., Ltd","[' 100-46-9', ' 78-67-1', ' 1165-22-6', ' 598-31-2', ' 103-63-9', ' 62-53-3', ' 598-21-0', ' 98-85-1', ' 140-88-5', ' 5337-93-9', ' 37161-74-3', ' 1009-14-9', ' 123-62-6', ' 110-62-3']","[' methyl 3-phenyloxirane-2-carboxylate', ' (2-Bromoethyl)benzene', ' Benzylamine', ' Valeraldehyde', ' thienylfentanyl', "" 2,2'-Azobis(2-methylpropionitrile)"", ' Bromoacetyl bromide', ' Valerophenone', ' Propionic anhydride', ' Aniline', ' Ethyl acrylate', ' P-Methyl phenylethylketone', ' DL-1-Phenethylalcohol', ' BROMOACETONE']","['+8619956560829   ', '+8617798174412   ', '   021-50840550', '+8613613820652    +86-371-86557731', '   0199-73945045']","[' info@fdachem.com', ' admin01@hsnm.com.cn', ' 471161314@qq.com', ' justine@zhongda-biotech.com', ' 2334372706@qq.com']","['http://www.fdachem.com/', nan]","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=37161-74-3&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-62-6&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-85-1&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-31-2&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1165-22-6&a=China&left=True&page=1#J_Condition']","[nan, '1kg', '1g']","[nan, '15.00', '1.00']","[nan, 'Jun30,2023', 'Aug11,2023']","[nan, '2023-12-20']","[nan, 'Purity: 99%|Package: 1kg;10.64;USD', 'Purity: 99% | Package: 1KG;50USD|1000KG;1USD', 'Purity: 99% | Package: 1KG;5KG;25kg;200kg;1000kg IBC | CustNote: g-kg-tons,free sample is available.Bottle/drum/IBC.Advantage products,new batches,regular stock, ready for shipment.', 'Purity: 99% | Package: 100g;|500g;|1000g']"
"Henan Guangwo New Materials Co., Ltd","[' 78-67-1', ' 98-86-2', ' 96-33-3', ' 79-09-4', ' 611-19-8', ' 62-53-3', ' 110-63-4', ' 598-21-0', ' 140-88-5', ' 56553-60-7', ' 1009-14-9', ' 60-12-8', ' 49851-31-2']","[' Propionic acid', ' Acetophenone', ' Methyl acrylate', ' Bromoacetyl bromide', ' 2-Chlorobenzyl chloride', ' azodiisobutyronitrile', ' Sodium triacetoxyborohydride', ' Valerophenone', ' 1, 4-butanediol', ' Aniline', ' Ethyl acrylate', ' 2-BROMO-1-PHENYL-PENTAN-1-ONE', ' Phenethyl alcohol']","['+8613927872512    0751-0751-2815986', '+8618336995067    0370-18336995067', '+8618327059871    027-027-59206672']","[' service@yunmeichem.com', ' 3007421951@qq.com', ' 3656693041@qq.com']","[nan, 'http://']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=13#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=49851-31-2&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=13#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=12#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=10#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: AR99.0% | Package: 500g；1kg；25kg', 'Purity: 99% HPLC | Package: 5KG;1KG', 'Purity: 98% | Package: 1KG;5KG;25KG']"
"Henan Huawen Chemical Co., Ltd","[' 100-46-9', ' 122-78-1', ' 103-63-9', ' 100-52-7', ' 622-24-2', ' 62-53-3', ' 3612-20-2', ' 877-37-2', ' 1009-14-9']","[' (2-Bromoethyl)benzene', ' Benzylamine', ' 2-bromo-1-(4-chlorophenyl)propan-1-one', ' (2-Chloroethyl)benzene', ' Benzaldehyde', ' Valerophenone', ' Aniline', ' Phenyl Acetaldhyde', ' N-Benzyl-4-piperidone']","['+8617550075363    0370-0370-2059268', '   +86 (512) 8542-8658', '+8615221909166    400-1647117', '+863119594100   ', '15721586846   ', '+8618071128681    027-027-59322506']","[' 1438082200@qq.com', ' wencaimat@163.com', ' product02@bidepharm.com', ' mark@sklnchem.cn', ' sales@methese.com', ' 1124977392@qq.com']","[nan, 'http://www.hnhwchem.com/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-78-1&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=14#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=622-24-2&a=China&left=True&page=5#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: 99% | Package: 5g;25g;100g;500g;1kg', nan, 'Purity: 99% HPLC | Package: 25KG;200KG;5KG;1KG;1T', 'Package: 20g', 'Purity: 98.00% | Package: 1KG;25KG', 'Purity: 97.0% | Package: 5KG;1KG']"
Henan Jiuke Chemical Co. LTD,"[' 78-67-1', ' 598-31-2', ' 100-52-7', ' 123-39-7', ' 1445-73-4', ' 3612-20-2', ' 598-21-0', ' 19099-93-5', ' 56553-60-7', ' 123-62-6', ' 93-92-5', ' 68-11-1']","[' N-methylformamide', ' Sodium triacetoxyborohydride', "" 2,2'-Azobis(2-methylpropionitrile)"", ' Bromoacetyl bromide', ' Benzaldehyde', ' 1-Methyl-4-piperidone', ' Propionic anhydride', ' 1-(Benzyloxycarbonyl)-4-piperidinone', ' N-benzyl-4-piperidone', ' Mercaptoacetic acid', ' BROMOACETONE', ' Styralyl acetate']","['17303700913    0370-0370-2071226', '+8617362916295   ']","[' w17362916295@163.com', ' 954866649@qq.com']","[nan, 'https://www.chemicalbook.com/ShowSupplierProductsList1506642/0_EN.htm']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=19099-93-5&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-31-2&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=15#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=16#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-62-6&a=China&left=True&page=4#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: 0.99 | Package: 1KG;5KG;25KG 200公斤', 'Purity: 99%', 'Purity: 99% | Package: 500克1公斤', 'Purity: 99% HPLC']"
"Henan Junyuejian Biotechnology Co., LTD","[' 103-63-9', ' 100-52-7', ' 598-21-0', ' 56553-60-7', ' 1009-14-9', ' 60-12-8']","[' (2-Bromoethyl)benzene', ' Sodium triacetoxyborohydride', ' Bromoacetyl bromide', ' Benzaldehyde', ' Valerophenone', ' PHENETHYL ALCOHOL']","['+8618661514130    1555-0142250', '+8615618996369   ', '18062681621    027-027-59225746']","[' 1035729108@qq.com', ' shanpel@anpel.com.cn', ' 730880265@qq.com']","[nan, 'http://']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=18#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 98% HPLC | Package: 1kg.25kg1t', 'Purity: 标准品 | Package: 250mg;1g']"
"Henan Lien Chemical Products Co., Ltd.",[' 1942-31-0'],[' 1-[4-(2-PHENYLETH-1-YNYL)PHENYL]ETHAN-1-ONE'],['13383857418    0371-0371-60919097'],[' 1520689222@qq.com'],['http://www.psaichem.com/'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=1942-31-0&a=China&left=True&page=1#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 98% | Package: 5g;10g;25g;100g;1kg']
"Henan Oumeng Trading Co., Ltd.",[' 79-03-8'],[' Jia an'],['+8613663817973   '],[' fanny@oumengtrade.com'],[nan],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=11#J_Condition'],[nan],[nan],[nan],[nan],[nan]
"Henan Pumei Jihua Pharmaceutical Technology Co., Ltd.",[' 1609-66-1'],[' N-phenyl-N-(piperidin-4-yl)propionamide'],['18037465274    037188900765'],[' enyawanglei@sina.cn'],['http://www.pumeijihua.com/'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=1609-66-1&a=China&left=True&page=1#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 95% HPLC | Package: 0.1g;0.25g;0.5g;1g;5g;10g;25g']
"Henan Pusai Chemical Products Co., Ltd.","[' 78-67-1', ' 104-53-0', ' 123-39-7', ' 96-33-3', ' 611-19-8', ' 62-53-3', ' 56553-60-7']","[' N-Methylformamide', ' Sodium triacetoxyborohydride', ' Methyl acrylate', ' 2-Chlorobenzyl chloride', "" 2,2'-Azobis(2-methylpropionitrile)"", ' Phenylpropyl aldehyde', ' Aniline']",['13663805960    0371-0371-63357898'],[' 1280786222@qq.com'],['http://www.psaichem.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=104-53-0&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=3#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 98% | Package: 5g;10g;25g;50g;100g;']"
Henan Sinotech Import & Export Corporation,"[' 122-11-2', ' 100-52-7']","[' Sulfadimethoxine', ' Benzaldehyde']",['   0371-86189866'],[' hasinotech001@gmail.com'],['http://www.hasinotech.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=5#J_Condition']",[nan],[nan],[nan],[nan],[nan]
Henan Tengmao Chemical Technology Co. LTD,"[' 1445-73-4', ' 1009-14-9']","[' Valerophenone', ' 1-Methyl-4-piperidone']","['18906120011   ', '+8615238638457   ']","[' sales@tianzhichem.com', ' salesvip2@hntmhg.com']",['http://www.hntmhg.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=11#J_Condition']",[nan],[nan],[nan],['2023-04-19'],"[nan, 'Purity: 99% | Package: 1kilogram;110USD|100kilogram;90USD']"
"Henan Tianfu Chemical Co.,Ltd.","[nan, ' 451-40-1', ' 41661-47-6', ' 79-09-4', ' 611-19-8', ' 56553-60-7', ' 28578-16-7', ' 110-62-3', ' 100-46-9', ' 78-67-1', ' 98-86-2', ' 598-31-2', ' 110925-64-9', ' 705-60-2', ' 98-85-1', ' 140-88-5', ' 1185282-01-2', ' 5337-93-9', ' 68-11-1', ' 123-39-7', ' 622-24-2', ' 122-11-2', ' 718-08-1', ' 7361-61-7', ' 60-12-8', ' 93-92-5', ' 591-31-1', ' 103-63-9', ' 1883284-94-3', ' 598-21-0', ' 877-37-2', ' 1009-14-9']","[nan, ' (2-Bromoethyl)benzene', ' Mercaptoacetic acid;Thioglycolic acid', ' 1-Phenyl-2-nitropropene', ' Ethyl 3-oxo-4-phenylbutanoate', ' acetophenoneACETOPHENONE 99%', ' 4-Methylpropiophenone', ' sodium,triacetyloxyboron(1-)', ' 122-11-2 Sulfadimethoxine', ' 2-Phenylacetophenone 451-40-1', ' Phenethyl alcohol', ' ethyl 3-(1,3-benzodioxol-5-yl)-2-methyloxirane-2-carboxylate', ' 4-Piperidinone', ' 2-bromo-4-chloropropiophenone', ' Valeraldehyde', ' (2-Chloroethyl)benzene', ' xylazine free base', ' TIANFU-CHEM_DL-1-Phenethylalcohol 98-85-1', ' 93-92-5 Styralyl acetate', ' 1185282-01-2', ' 1-Phenyl-1-chloro-2-methylaminopropane hydrochloride, Chloroephedrine HCL', ' Benzylamine', ' 2-Chlorobenzyl chloride', ' 3-Methoxybenzaldehyde 591-31-1', ' propionic acid', ' N-methylformamide', "" 2,2'-Azobis(2-methylpropionitrile)"", ' Bromoacetyl bromide', ' Valerophenone', ' 598-31-2 BROMOACETONE', ' FDU-PB22', ' Ethyl acrylate']","[nan, '+86+86-13454675544    +86-0576225566889', '+8615307151931   ', '+86-19937530512    0371-55170693', '+86+8615821988213   ', '+8615632927689   ', '+86+86-85511178    0371-+86-85511178', '   18062666868', '+8615175982296    +86-15175982296', '+8615312551983    051989185693', '+86+8615028179902    15028179902', '   0515-88889218']","[nan, ' sales@jinbiaochem.com', ' peter68@ptchemgroup.com', ' 2410037592@qq.com', ' andy@ycgmp.com', ' sales@hbmojin.com', ' admin@hbdangtong.com', ' info@longyupharma.com', ' admin@jiuzhou-chem.com；jamie@jiuzhou-chem.com；alice@jiuzhou-chem.com', ' Mike@whby-chem.com', ' 2355680@qq.com', ' info@tianfuchem.com']","[nan, 'https://www.tianfuchem.com/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=28578-16-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1883284-94-3&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-31-2&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1185282-01-2&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-85-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110925-64-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=41661-47-6&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=718-08-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=622-24-2&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=1#J_Condition']","[nan, '25kg', '1kg']","[nan, '3699.00', '10.00', '150.00', '35.00']","[nan, 'Feb16,2023', 'Jan26,2024', 'Feb18,2024']","[nan, '2019-12-06']","[nan, 'Purity: 0.95&0.99 | Package: 0.1KG;1KG;1000KG | CustNote: Wholesale price', 'Purity: 0.99 | Package: 5KG;1KG/aluminum foil package; 25kg/drum | CustNote: Paypal,credit card,western union,bank transfer', 'Purity: 99% | Package: 25KG;5KG;1KG', 'Purity: 99% | Package: 25KG', 'Purity: 99% HPLC | Package: 5KG;1KG', 'Purity: 98% HPLC&GC | Package: 100G 500g 1kg | CustNote: AR GR CP', 'Purity: 99% | Package: 500kg;62USD', 'Purity: 99.60%|Package: 1kg;20.00;USD|100kg;15.00;USD', 'Package: 1KG']"
"Henan Vcommend Consultrading Co., Ltd.","[' 100-52-7', ' 1445-73-4', ' 3612-20-2', ' 60-12-8', ' 123-62-6']","[' Benzaldehyde Nat', ' 1-Methyl-4-piperidone', ' Propionic Anhydride', ' Irinotecan Impurity 28', ' Phenethyl alcohol']","['15250997978    025-025-58362220', '+8613879661494    0796-8287629', '+8613393721940   ']","[' sales@vcommend.com', ' 3099857507@qq.com', ' sale@njxizebio.com']","[nan, 'http://www.vcommend.com/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-62-6&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=12#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=9#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: 99% | Package: 200kg/', 'Package: 10mg;25mg;50mg;100mg;250mg;500mg;1g', 'Purity: 98.0% | Package: 25kg/drum', 'Purity: 180kg/drum | Package: 50,70,90%', 'Purity: In-house | Package: 1kg;5kg;25kg']"
"Henan Vocas Biotechnology Co., Ltd","[' 98-86-2', ' 103-63-9', ' 123-39-7', ' 611-19-8', ' 110-63-4', ' 5337-93-9', ' 1009-14-9', ' 60-12-8', ' 93-92-5']","[' (2-Bromoethyl)benzene', ' N-Methylformamide', ' Acetophenone', ' 2-Chlorobenzyl chloride', ' Valerophenone', ' 2-Phenylethanol', ' 1,4-Butanediol', "" 4'-Methylpropiophenone"", ' Styralyl acetate']","['+864000665055    021-50795510', '+8617837010661   ', '+8618537671377    0185-37671377', '+8613953303907   ']","[' 3654853487@qq.com', ' syeu@accelachem.com', ' 2224986086@qq.com', ' vocas@foxmail.com']","[nan, 'http://']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=12#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=11#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=14#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: GC>=99％ | Package: 250Kg', 'Purity: >=98% | Package: 25g;100g;500g;1000g', 'Package: 25kg/;200kg/', 'Purity: 99% | Package: 25G;100G;500G;1KG;5KG;25KG;100KG', 'Purity: 99% | Package: 200kg', 'Purity: 99.7% | Package: 25kg/', 'Purity: 99% | Package: 200kg/塑料桶', 'Purity: 99% | Package: 25kg/']"
"Henan Wanxiang Chemical Industry Co., Ltd.",[' 56553-60-7'],[' Sodium triacetoxyborohydride'],['13949088811    0371-0371-56669001'],[' Sales@58chem.cn'],[nan],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=12#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 98%+ | Package: 1kg;25kg']
"Henan Wanxiang Chemical Industry Co.,Ltd.","[' 98-86-2', ' 123-39-7', ' 100-52-7', ' 110-63-4', ' 5337-93-9']","[' N-Methylformamide', ' Acetophenone', ' 4-Methylpropiophenone', ' Benzaldehyde', ' 1,4-Butanediol']","['13949088811    0371-0371-56669001', '   0512-50331135']","[' sales@cd-chem.com', ' Sales@58chem.cn']","[nan, 'http://www.58chem.cn/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=13#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=13#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=15#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 0.98 | CustNote: kg\\ton', 'Purity: 99%', 'Purity: 0.98 | CustNote: kg', 'Purity: 99%+']"
Henan Wasai Biological Technology Co. LTD,[' 28578-16-7'],"[' 3,4-MDP-2P ethyl ester']",['+8613526611694   '],[' 2582571190@QQ.COM'],['https://www.chemicalbook.com/ShowSupplierProductsList732171/0.htm'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=28578-16-7&a=China&left=True&page=4#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 99% | Package: 1kg/RMB 700;25kg/RMB 680']
"Henan Wei Yuan Biotechnology Co., Ltd.","[' 60-12-8', ' 79-09-4', ' 93-92-5']","[' Propionic acid', ' Phenethyl alcohol', ' Styralyl acetate']","['13703782753    0371-27990887', '+8618939937369   ']","[' info@lychems.cn', ' xuanqunlong@126.com']",['https://www.iwysw.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=3#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 98% | Package: 1kg;|25kg;|100kg']"
