CoC_ID,Company_ID,Attribute_ID,Attribute,Value
,6,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=131543-23-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=9#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=8#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=8#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=5#J_Condition
,7,1,Name,ABA Chemicals (Shanghai) Limited
,7,3,Products, Sulfadimethoxine
,7,10,Contact,"{'Tel': ['   021-51159199'], 'Email': [' rimondlong@abachem.com']}"
,7,11,Website,https://www.chemicalbook.com/ShowSupplierProductsList8240/0_EN.htm
,7,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=3#J_Condition
,8,1,Name,"AF Biochem Co., Ltd."
,8,3,Products," L-Alanine,N-[(S)-[[(1S)-2-(6-amino-9H-purin-9-yl)-1-methylethoxy]methyl]phenoxyphosphinyl]-, 1-methylethyl ester ;  4'-Methylpropiophenone"
,8,10,Contact,"{'Tel': ['+8613540204019    028-60911900', '   +86-571-85232125 85232161 85134551'], 'Email': [' lucy@afbiochem.com', ' info@afinechem.com']}"
,8,11,Website,http://www.afbiochem.com/
,8,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=8#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=49851-31-2&a=China&left=True&page=4#J_Condition
,9,1,Name,AFINE CHEMICALS LIMITED
,9,3,Products," Phenethyl alcohol ;  122-78-1 Phenylacetaldehyde ;  Valerophenone ;  MERCAPTOACETIC ACID ;  4'-Methylpropiophenone ;  SODIUM TRIACETOXYBOROHYDRIDE ;  Aniline ;  2-bromo-4-chloropropiophenone ;  Valeraldehyde ;  Ethyl acrylate ;  2,2'-AZOBIS(2-METHYLPROPIONITRILE) ;  Β-PHENETHYL BROMIDE ;  N-Benzyl-4-piperidone ;  N-METHYLFORMAMIDE ;  BENZYLAMINE ;  Methyl acrylate ;  3-Methoxy benzaldehyde ;  ETHYL ACRYLATE ;  METHYL ACRYLATE ;  1,4-BUTANEDIOL ;  3-Methoxybenzaldehyde ;  Benzaldehyde ;  4-Methylpropiophenone ;  ACETOPHENONE ;  Sulfadimethoxine ;  4-Anilino-1-benzylpiperidine ;  4-Piperidinone ;  VALERALDEHYDE ;  BROMOACETYLBROMI ;  PROPIONYL CHLORIDE"
,9,10,Contact,"{'Tel': ['15800340161   ', '+8615271838296   ', '+8618072846723   ', '+86    0571-85134551', '+86+8615858145714    008657128800458', '+8613613820652    +86-371-86557731', '   0513-89158300', '+8615093356674    0371-+86-0371-86658258', '   0536-5660088', '   +86-571-85232125 85232161 85134551', '+86-19937530512    0371-55170693', '   0728-6703368'], 'Email': [' info@zzsrm.com', ' sales@chinahydantoin.com', ' 3447802629@qq.com', ' laboratory@coreychem.com', ' kyra@quanjinci.com', ' info@tianfuchem.com', ' info@fdachem.com', ' fandachem@gmail.com', ' 3404720992@qq.com', ' caigou1@witofly.com', ' info@afinechem.com']}"
,9,11,Website,http://www.afinechem.com/ ; http://www.afinechem.com/index.html
,9,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=7#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-78-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1155-56-2&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=41661-47-6&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=2#J_Condition
,10,1,Name,"AHH Chemical Co,.Ltd"
,10,3,Products, Xylazine ;  Propionyl bromide ;  JWH 167 ;  (2-Bromoethyl)benzene ;  1-Phenyl-2-nitropropene ;  Ethyl 3-oxo-4-phenylbutanoate ;  Valerophenone ;  Styrallylacetate ;  Benzylamine ;  N-Phenyl-N-(4-piperidinyl)propanamide ;  Benzaldehyde
,10,10,Contact,"{'Tel': ['+86+8615028179902    15028179902', '+8615632927689   ', '   0592-6020891', '   86-1860259310', '+86+8613296627870    +86-13296627870', '+8615532196582    0311-85030958', '+8617367732028    +86-17367732028'], 'Email': [' info@whwingroup.com', ' admin@hbdangtong.com', ' lisa@yibangte.com', ' kathy@hbyinsheng.com', ' sale@biohj.com', ' sales@hbmojin.com', ' sales@ahhchemical.com']}"
,10,11,Website,nan ; http://www.ahhchemical.com/product/MT-54749.html ; http://www.ahhchemical.com/product/MT-35153.html ; http://www.ahhchemical.com/product/MT-58202.html ; http://www.ahhchemical.com/product/MT-60324.html ; http://www.ahhchemical.com/product/MT-60434.html
,10,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1609-66-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=864445-37-4&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-22-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=718-08-1&a=China&left=True&page=2#J_Condition
,11,1,Name,AILY INTL CHEMICAL CORP LTD
,11,3,Products, Phenylacetaldehyde ;  Acetophenone
,11,10,Contact,"{'Tel': ['18913388297    025-025-83208295', '+8613317178958    027-83295551'], 'Email': [' 385079137@qq.com', ' sales@ailybiotech.com']}"
,11,11,Website,https://www.chemicalbook.com/ShowSupplierProductsList15679/0_EN.htm
,11,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-78-1&a=China&left=True&page=3#J_Condition
,12,1,Name,"ALL RIGHT CHEMICAL CO.,LTD"
,12,3,Products," Aniline ;  N-(2,6-dimethylphenyl)-5,6-dihydro-4H-1,3-thiazin-2-amine ;  Propionic anhydride ;  Phenethyl alcohol ;  Sodium triacetoxyborohydride ;  1-Methyl-4-piperidone ;  N-Benzyl-4-piperidone ;  4-Bromopropiophenone ;  1-Cbz-4-Piperidone ;  Valerophenone ;  4′-Methylpropiophenone ;  Benzylamine ;  4-METHOXY-BETA-BROMOPROPIOPHENONE ;  Benzaldehyde"
,12,10,Contact,"{'Tel': ['+8613918007836    21-21-61026752', '+86    852-30606658', '   86-531-55516881', '+8613633837469   ', '+8617736933208    0086-1773693', '   +86-25-83697070', '+86-19937530512    0371-55170693', '   021-54262601'], 'Email': [' market18@leapchem.com', ' info@tianfuchem.com', ' info@allgreenchem.com', ' shyh1995@163.com', ' sales@arbiotechem.com', ' 1137059254@qq.com', ' sales@hoborchem.com', ' sales@chemlin.com.cn']}"
,12,11,Website,nan ; http://www.arbiotechem.com/
,12,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=10342-83-3&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=21086-33-9&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=11#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=19099-93-5&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-62-6&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=3#J_Condition
,13,1,Name,"ANHUI WITOP BIOTECH CO., LTD"
,13,3,Products," PMK ethyl glycidate ;  2-Phenylacetophenone ;  Phenylpropyl aldehyde ;  Sodium triacetoxyborohydride ;  bromoacetone ;  PropionylBromide>98.0%(GC&T) ;  Mercapto acetic acid;2-Mercaptoacetic acid;TGA ;  1,3-Benzodioxole-5-acetic acid, α-acetyl-, methyl ester ;  Aniline ;  2-bromo-4-chloropropiophenone ;  Valeraldehyde ;  Ethyl acrylate ;  N-Benzyl-4-piperidone ;  1-Methyl-4-piperidone ;  1,4-Butanediol ;  2,2'-Azobis(2-methylpropionitrile) ;  Acetophenone ;  Crotonylfentanyl ;  (2-Bromoethyl)benzene ;  N-Methylformamide ;  JWH 176 ;  Phenethyl chloride ;  Sulfadimethoxine ;  Propionic anhydride ;  Phenylacetaldehyde ;  Benzylamine"
,13,10,Contact,"{'Tel': ['+8617331933971    173-31933', '15800340161   ', '15026509758    021-51875103', '+8615238638457   ', '+8617798174412   ', '+8615255079626   ', '   021-62206502', '13901628252    021-66313386'], 'Email': [' info@zzsrm.com', ' eric@witopchemical.com', ' shtwchem@126.com', ' shkuanhao@163.com', ' deasea125996@gmail.com', ' admin01@hsnm.com.cn', ' 344843571@qq.com', ' salesvip2@hntmhg.com']}"
,13,11,Website,nan ; https://www.chemicalbook.com/ShowSupplierProductsList418627/0_EN.htm
,13,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-22-1&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=760930-59-4&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-31-2&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=104-53-0&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=12#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=6#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1369021-80-6&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-78-1&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=622-24-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=619294-62-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=28578-16-7&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-62-6&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=2#J_Condition
,14,1,Name,AOPHARM
,14,3,Products," Xylazine ;  Bromoacetyl bromide ;  Propionic acid ;  Phenethyl alcohol ;  2-Phenylacetophenone ;  Sodium triacetoxyborohydride ;  1-(3.4-Methylenedioxyphenyl)2-nitropropene ;  4'-Methylpropiophenone ;  1-Phenyl-2-nitropropene ;  2-Phenylethanol ;  N-Benzyl-4-piperidone ;  1,4-Butanediol ;  Mercaptoacetic acid ;  2,2'-Azobis(2-methylpropionitrile) ;  Acetophenone ;  2-Chlorobenzyl chloride ;  (2-Bromoethyl)benzene ;  Phenethyl chloride ;  Butyrophenone ;  Benzaldehyde ;  Propionyl bromide ;  Sulfadimethoxine ;  N-Phenyl-N-(4-piperidinyl)propanamide admixture with HCl salt ;  THJ 018 ;  1-Cbz-4-Piperidone ;  Propionyl chloride"
,14,10,Contact,"{'Tel': ['+86    571-571-89925085', '+86   ', '+8613043004613   ', '+8615868606025   ', '+8615267169049    0571-87157530', '+8618058761490    0571-86217390', '   021-60536361', '+8613372112871    0512-66317708', '   0086-311-66600578', '+8617705817739    571-88938639', '   +86-519-82751350', '+undefined18621343501   '], 'Email': [nan, ' sales@jiechengchem.com', ' Sara@xmwonderfulbio.com', ' huijuan@zitrans.cn', ' sales@aopharm.com', ' info@dycnchem.com', ' info@gihichemicals.com', ' product@acmec-e.com', ' jwf@hi2000.com', ' sales@dingyanchem.com', ' sales@amadischem.com', ' sales@bingochem.com']}"
,14,11,Website,nan ; http://www.aopharm.com/
,14,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=10#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5438-41-5&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=14#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1364933-55-0&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=19099-93-5&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=495-40-9&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-22-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=622-24-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1609-66-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=3#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=4#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=7#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=7#J_Condition
,15,1,Name,ATK CHEMICAL COMPANY LIMITED
,15,3,Products, 3-Methoxybenzaldehyde ; nan ;  Xylazine ;  2-bromo-4-chloropropiophenone ;  4-Piperidinone ;  (2-Bromoethyl)benzene ;  2-Phenylacetophenone ;  N-CBZ-4-piperidone ;  Sodium triacetoxyborohydride ;  JWH 176 ;  Valerophenone ;  N-methyl-4-piperidone ;  Ethyl 3-oxo-4-phenylbutanoate
,15,10,Contact,"{'Tel': [nan, '+undefined+undefined13082019107    +86-15262425018', '+8618560316533    86185603165', '15800340161   ', '+8613571859809    029-029-86018689', '+8613795318958    86-02137122233', '   021-61521620', '+undefined    21-51877795'], 'Email': [nan, ' info@zzsrm.com', ' info@pushanshiye.com', ' Ethan@dornechem.com', ' ivan@atkchemical.com', ' 1815786809@qq.com', ' bj1@bj-chem.com', ' admin@hbxiaowo.com']}"
,15,11,Website,nan ; http://www.atkchemical.com/
,15,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=718-08-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=7#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=2#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=19099-93-5&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=1445-73-4&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=120656-93-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=619294-62-1&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=1#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=41661-47-6&a=China&left=True&page=2#J_Condition
,16,1,Name,Absin Bioscience Inc.
,16,3,Products, CP55940 ;  U-69593 ;  JWH 200 ;  JWH 398 (exempt preparation)
,16,10,Contact,"{'Tel': ['   +86-21-58447131', '   010-62968438', '400-002-6926    400-002-6926', '   021-64221773'], 'Email': [nan, ' sales@dcchemicals.com', ' 912529879@qq.com', ' 978560024@qq.com']}"
,16,11,Website,http://www.absin.cn/
