ID,Name,Tel,Email,CAS,Product Name,Stock_Weight,Price,Last_Updated,Verified_On,Remarks,Website_URL,Source_URL
ChemBook_13,"ANHUI WITOP BIOTECH CO., LTD",+8615255079626   , eric@witopchemical.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 98% | Package: 25kg,https://www.chemicalbook.com/ShowSupplierProductsList418627/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_14,"Dayang Chem (Hangzhou) Co.,Ltd.",+8617705817739    571-88938639, info@dycnchem.com, 451-40-1, Deoxybenzoin,,,,2021-07-08,Purity: 0.95&0.99 | Package: 0.1KG;1KG;1000KG | CustNote: Top Quality,https://www.dycnchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_15,"Hong Kong Excellence Biotechnology Co., Ltd.",+8618126314766    86-18838029171, ada@sh-teruiop.com, 451-40-1, Desoxybenzoine,,,,,Purity: 99.80% | Package: 1kg;10kg;25kg,https://www.chemicalbook.com/ShowSupplierProductsList1274886/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_16,Shandong Believe Chemical PTE.LTD,+8615966163158   , 1093908296@qq.com, 451-40-1, 2-Phenylacetophenone,,,,2022-09-27,,https://www.chemicalbook.com/ShowSupplierProductsList67294/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_17,"Shanghai Innopharm Industrial Co., Ltd.",+undefined17701845089   , sales@hoyaopharm.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99%,http://www.hoyaopharm.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_18,Hebei Duling International Trade Co. LTD,+8618032673083    +86-0311-87836622, sales05@hbduling.cn, 451-40-1, 2-Phenylacetophenone,,,,2022-06-22,Purity: 99% | Package: 5KG;1KG,https://www.chemicalbook.com/ShowSupplierProductsList1283525/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_19,"LEAP CHEM CO., LTD.",+86    852-30606658, market18@leapchem.com, 451-40-1, 2-Phenylacetophenone,,,,2022-06-30,Package: 1g; 5g; 25g; 1kg; 5kg; 25kg,https://www.leapchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_20,"Jewim Pharmaceutical (Shandong) Co., Ltd.",+8615621883869   , liutf@jewim.com.cn, 451-40-1, 2-Phenylacetophenone,,,,2022-07-04,Purity: 0.99_ | Package: 5KG;1KG,http://www.jewimpharma.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_21,PT CHEM GROUP LIMITED,+86+86-85511178    0371-+86-85511178, peter68@ptchemgroup.com, 451-40-1, 2-Phenylacetophenone,,,,2022-10-31,Purity: 0.95&0.99 | Package: 0.1KG;1KG;1000KG | CustNote: Wholesale price,https://www.chemicalbook.com/manufacturer/henan-lihao-chem-plant-25020/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_22,"ZHEJIANG JIUZHOU CHEM CO., LTD",+86+86-13454675544    +86-0576225566889, admin@jiuzhou-chem.com；jamie@jiuzhou-chem.com；alice@jiuzhou-chem.com, 451-40-1, 2-Phenylacetophenone,,,,,Package: 25KG,http://www.jiuzhou-chem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_23,"GIHI CHEMICALS CO.,LIMITED",+8618058761490    0571-86217390, info@gihichemicals.com, 451-40-1, Deoxybenzoin,,,,2022-12-01,"Purity: 99 | Package: 5KG;1KG,25kg",https://www.gihichemicals.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_24,"Jiangsu Yutian pharmaceutical Co.,Ltd.",+undefined19851887368    0518-86098006, lvan.hui@jsytsw.com, 451-40-1," 1,2-diphenyl-ethanon",,,,,Purity: 99% HPLC | Package: 25kg,http://www.jsytsw.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_25,"Wuhan Quanjinci New Material Co.,Ltd.",+8615271838296   , kyra@quanjinci.com, 451-40-1, Diphenylethanone,,,,2023-10-10,Purity: 0.99 | Package: 5KG;1KG,http://www.quanjinci.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_26,"Shanghai Acmec Biochemical Technology Co., Ltd.",+undefined18621343501   , product@acmec-e.com, 451-40-1, 2-Phenylacetophenone,,,,2024-01-10,"Purity: 98% | Package: 100g, 5g, 500g, 10g, 1kg, 25g",http://www.acmec.com.cn/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_27,Amadis Chemical Company Limited,+86    571-571-89925085, sales@amadischem.com, 451-40-1," 1,2-diphenylethanone",,,,,"Purity: 0.97 | Package: mgs,gs,kgs | CustNote: A826725",,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_28,"Shanghai Daken Advanced Materials Co.,Ltd",+86    371-66670886, info@dakenam.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99% | Package: 100g ;1KG ;5KG 25KG,https://www.dakenam.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_29,"Shanghai Hengmao New Materials Technology CO., LIMITED",+8617736933208    0086-1773693, 1137059254@qq.com, 451-40-1, 2-Phenylacetophenone,,,,2022-11-01,Purity: 99% | Package: 25KG/10KG/5KG/1KG,http://shanghaihm.com/index.asp,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_30,"Mainchem Co., Ltd.",+8618030271905    86-05926210733, sarah@mainchem.com, 451-40-1, 2-Phenylacetophenone,,,,,Package: According to customer‘s requirement,http://www.mainchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_31,Shanghai Famo Bio-chemical Technology Company Ltd.,+8615800370750    021-36680027, 1706640024@qq.com, 451-40-1, 2-Phenylacetophenone,,,,,"Purity: 99% HPLC | Package: 1kg,25kg,100kg，1t",http://www.famobiotech.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_32,DC Chemicals,   +86-21-58447131, sales@dcchemicals.com,, Deoxybenzoin,,,,,Brand：dcchemicals | Product Number：DC37201,,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_33,Chemenu Inc.,   +86-21-2022 2982, sales@chemenu.com, 451-40-1, 2-Phenylacetophenone,,,,,Brand：Chemenu | Product Number：CM186430 | Purity：95+%,https://www.chemenu.com/products/CM186430.html,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_34,HENAN SUNLAKE ENTERPRISE CORPORATION,   +86-371- 55366292, info@hnsunlake.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList30312/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_35,"Henan Allgreen Chemical Co.,Ltd",   +86-0371-87507775, sales@allgreenchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.allgreenchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_36,"Zouping Mingxing Chemical Co.,Ltd.",+8613605431940    86-13605431940, zpmxchemical@126.com, 451-40-1, Deoxybenzoin,,,,,Purity: 98%,http://www.zoutong.com.cn/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_37,"JINHUA HUAYI CHEMICAL CO., LTD.",   86-579-82660891, sales@chinahuayichem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.chinahuayichem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_38,AOPHARM,   0086-311-66600578, sales@aopharm.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.aopharm.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_39,"Hunan chemfish Pharmaceutical co.,Ltd",   0731-85567275, sales@chemfish.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.chemfish.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=2#J_Condition
ChemBook_40,"Nanjing Chemlin Chemical Co., Ltd.",   +86-25-83697070, sales@chemlin.com.cn, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.echemlin.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_41,XinChem Corporation,   +86 21 34123252, xinchem@xinchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.xinchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_42,"laidiou biological technology co.,limited",   0512-81664689, sales@laidiou.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList30287/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_43,"Shanghai Run-Biotech Co., Ltd.",+8613817537615    021-57171705, sales@run-biotech.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.run-biotech.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_44,"Shanghai Hope Chem Co., Ltd.，",+8618501659228    21-58090396, info@hope-chem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.hope-chem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_45,Bide Pharmatech Ltd.,+8615221909166    400-1647117, product02@bidepharm.com, 451-40-1," 1,2-Diphenylethanone",,,,,Purity: 98% | Package: 290RMB/100g,http://www.bidepharm.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_46,"Shandong RuiYue Biotechnology Co., Ltd.",18805314509    0531-0531-88581623, 1456922171@126.com, 451-40-1, 2-Phenylacetophenone,,,,,Package: 1kg/;5kg/;10kg/;100kg/,https://www.chemicalbook.com/ShowSupplierProductsList16745/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_47,"Chengdu Miracle Pharmaceutical Co., Ltd.",+8619130631884    028-028-86136736, sales@mic-pharma.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList16284/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_48,"Beijing Anruiqi Chemical Technology Co., Ltd.",18618313080    010-010-5710845, 1905569272@qq.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99 | Package: 25公斤,http://www.chemicalbook.com/ShowSupplierProductsList30256/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_49,"Shandong Jinhu Chemical Co., Ltd.",+8618653796880   , sdjhhx@163.com, 451-40-1," 1,2-Diphenylethan-1-one",,,,,Purity: 99%,http://www.sdjinhuchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_50,"Shanghai He Huan Chemical Co., Ltd.",13917602471    021-021-60345187, lzz841106@aliyun.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 98%,https://www.chemicalbook.com/ShowSupplierProductsList30458/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_51,"Jintan Winbond Chemical Co., Ltd.",18605286750    0519-0519-82610098, sales@huabangchemical.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 98% | Package: 1KG;5KG;100KG;1000KG,http://www.huabangchemical.com/index.html,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_52,"Shandong Winner Biotechnology Co., Ltd.",+8615315319889   , wannaswsw@163.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99% | Package: 1KG/;5KG/;25KG/,http://www.sdwinnerbio.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_53,Wuhan yuqing jiaheng pharmaceutical co. LTD,+8613545340383    027-027-83855389, 2586905842@qq.com, 451-40-1, Deoxybenzoin,,,,,Purity: 99% | Package: 25 kg/,https://www.chemicalbook.com/ShowSupplierProductsList31184/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_54,Nanjing xiangrui technology co. LTD,15715199582    021-021-00000000, njrich168@163.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 98% | Package: 1g/;10g/;100g/;500g/;1kg/;10kg/,http://www.chemicalbook.com/ShowSupplierProductsList1097898/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_55,"Hubei Moco Chemical Co., Ltd.",+8618627756402   , 3001051413@qq.com, 451-40-1, Parecoxib Impurity 17;N-((4-(5-methyl-4-phenylisoxazol-3-yl)phenyl)sulfonyl)propionamide,,,,,Purity: 99% HPLC | Package: 10mg,http://www.molcoo.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_56,"Hubei Zhonglong Kangsheng Fine Chemical Co., Ltd.",+8613407122916    027-027-83855385, 353799526@qq.com, 451-40-1, Deoxybenzoin,,,,,Purity: 99% | Package: 25 KG /,http://www.ruihechem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_57,Hubeicowardchemical,+8613317178958    027-83295551, 385079137@qq.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99,http://www.cowardchemical.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_58,"Beijing Nuot Technology Co., Ltd.",   13520537277, 393291462@qq.com, 451-40-1, Deoxybenzoin,,,,,,http://www.nuotech.com.cn/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_59,"Chengdu Bright Chemical Technology Co., Ltd.",   4008-755-333, aikeshiji@163.com, 451-40-1, Deoxybenzoin,,,,,,http://www.aikeshiji.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=3#J_Condition
ChemBook_60,"Hangzhou Caseman Pharmaceutical Technology Co., Ltd.",   18067926518, sales@ksmpharm.com, 451-40-1, Deoxybenzoin,,,,,,http://www.ksmpharm.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_61,Akzo Nobel Polymer Chemicals LLC,   86 0755 27148450, polymerchemicals.mx@akzonobel-pc.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.akzonobel-polymerchemicals.com/ProductSelector/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_62,"CEC Chemical Co., Ltd",   86-21-52418058 34619399, eric@cecchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.cecchem.com/products02.html,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_63,"Wuahan Meheke Co., Ltd",   027-85353562, liyu@vip.163.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.meheke.com/product_fmore.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_64,Jurong Huacheng Chemical Factory,   13901492119, hchg@hc-hg.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.hc-hg.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_65,"Wuxi Meihua Chemical Co., Ltd",   0728-6703368, sales@chinahydantoin.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList4788/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_66,"Zhejiang Juhua Reagent Co., Ltd","   0570-3066667,3062509,13819002126", 41774453@qq.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.ts007.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_67,"Jiangxi Jixiang Pharmchemical Co., Ltd",   0798-6702168, sales@jxpharmchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.chemscien.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_68,"Pingyuan Shihuan Pharmaceutical Co., Ltd.",   0531-89702887 62318870 13290107390, sales@sdpysh.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.sdpysh.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_69,"Jintan Huayue Chemical Technology Co., Ltd",   0519-82859934, sales@huayuechem.cn, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.huayuechem.cn/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_70,"Ji'nan Kaiyin Biological Technology Co., Ltd",18663730567    0531-88073798, jnzhpharm@163.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList17766/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_71,"Changzhou Friendship Fine Chemical Co., Ltd",   86-0519-86806770 86806771, chaochiqiang@friendchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.friendchem.com/pages/pro3.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_72,"Qinhuangdao Bright Chemical Co., Ltd.",15603338676    0335-763-6678, starain_daphne@yahoo.com.cn, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.chembright.net/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_73,"Nanjing Chemfly Medical Technology Co., Ltd.",   025-58740787, info@chemfly.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.chemfly.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_74,"Wuhan Ford Biomedicine Chemical Co., Ltd.",   027-83855385, wuhanfudechem09@163.com, 451-40-1, Deoxybenzoin,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList66776/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_75,"Changzhou Neostar United Biotechnology Co., Ltd.",   0519-85556579, sales@cneostar.com, 451-40-1, Deoxybenzoin,,,,,,http://www.zhendichem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_76,"Jia Xing Isenchem Co.,Ltd",18627885956    0573-0573-85285100, isenchem@163.com, 451-40-1, 2-Phenylacetophenone,,,,,"Purity: 98% (HPLC Or GC) | Package: 25g,100g,500g;1kg",https://www.chemicalbook.com/ShowSupplierProductsList14265/0.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_77,"shanghai meicheng chemical co .,ltd",   +86-21-50677091, sales@meichengchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.meichengchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_78,Jintan City Fraternal Fine Chemical Factory (Jintan Braun Catalyst Plant),   +86-519-82553398 82553818, pgp@blchem.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.blchem.com/cgi/search-en.cgi?f=product_en+company_en_1_&t=product_en&w=product_en,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_79,Changzhou Foreign Trade Corp,   0519-88865202, sales@czdwmy.com, 451-40-1, 2-Phenylacetophenone,,,,,,http://www.czdwmy.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=4#J_Condition
ChemBook_80,"Suzhou Huihe Pharm Co., Ltd.",   0512-88819360, huihepharm@163.com, 451-40-1, 2-Phenylacetophenone,,,,,,https://www.chemicalbook.com/ShowSupplierProductsList15970/0_EN.htm,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=5#J_Condition
ChemBook_81,"Shandong Haiwo Biological Technology Co., Ltd.",13046003282    0531-0531-87586188, sales@hwbiology.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99%,http://hwbiology.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=5#J_Condition
ChemBook_82,"Cool Pharm, Ltd",18019463053    021-58581007, sales@coolpharm.com, 451-40-1, 2-PHENYLACETOPHENONE,,,,,Purity: 98.0% | Package: 1g,http://www.coolpharm.com.cn/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=5#J_Condition
ChemBook_83,"Hubei huizepu Pharmaceutical Technology Co., Ltd",+8618507139096    0185-0185-0185-07139096, 18507139096@163.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: >=98.00%HPLC | Package: 1kg/;10kg/;25kg/,http://www.huizepu.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=5#J_Condition
